card_a,card_b,co_occurrence,win_rate_together
Mother Witch,Zap,23347,0.5304
Arrows,Fisherman,23249,0.5191
Electro Spirit,Zappies,23227,0.5186
Magic Archer,Skeleton,23214,0.4238
Arrows,Heal Spirit,23148,0.5523
Electro Dragon,Firecracker,23144,0.5103
Battle Ram,Firecracker,23063,0.5128
Electro Spirit,Royal Hogs,23034,0.5176
Electro Giant,Firecracker,22996,0.5015
Rage,Royal Ghost,22962,0.5319
Archer Queen,Royal Ghost,22932,0.5573
Barbarian Barrel,Miner,22863,0.5159
Executioner,Zap,22850,0.513
Balloon,Mega Knight,22838,0.4959
Balloon,Ice Golem,22820,0.5179
Electro Spirit,Royal Recruits,22819,0.518
Electro Wizard,Executioner,22813,0.505
Electro Dragon,Phoenix,22796,0.5234
Electro Wizard,Inferno Dragon,22780,0.5003
Arrows,Inferno Tower,22776,0.4885
Archer Queen,Barbarian,22755,0.5464
Bat,Goblins,22731,0.5115
Arrows,Executioner,22627,0.5046
Barbarian,Elixir Collector,22620,0.5434
Dark Prince,Mega Minion,22494,0.5385
Cannon,Firecracker,22460,0.5121
Elixir Collector,Lumberjack,22452,0.5391
Electro Wizard,Wizard,22412,0.4973
Executioner,Mega Knight,22409,0.5023
Archer,The Log,22302,0.4929
Bomber,Fireball,22280,0.4955
Fisherman,Hunter,22279,0.527
Inferno Tower,Knight,22209,0.5252
Hog Rider,Inferno Dragon,22190,0.4996
Barbarian,Hog Rider,22139,0.5158
Barbarian,Magic Archer,22138,0.5516
Executioner,P.E.K.K.A,22122,0.5016
Bomber,Electro Giant,22092,0.5062
Bandit,The Log,22038,0.5231
Barbarian,Flying Machine,22017,0.5415
Mega Minion,Night Witch,21992,0.5239
Cannon,Lightning,21981,0.5164
Mega Knight,Mother Witch,21952,0.4906
Rage,Valkyrie,21885,0.502
Giant,Mini P.E.K.K.A,21849,0.5086
Barbarian,Royal Ghost,21759,0.5602
Phoenix,The Log,21741,0.5395
Archer Queen,Skeleton,21598,0.5062
Royal Recruits,Wall Breakers,21548,0.5244
Bandit,Barbarian,21527,0.5597
Giant Snowball,Ice Golem,21488,0.5142
Lightning,Mega Minion,21467,0.5156
Giant,Musketeer,21413,0.5083
Archer Queen,Cannon,21400,0.5081
Bomber,Phoenix,21400,0.5048
Goblins,Royal Ghost,21391,0.5686
Elixir Collector,Goblins,21374,0.5404
Balloon,Phoenix,21348,0.4962
Bat,Valkyrie,21307,0.4999
Electro Giant,Knight,21286,0.5029
Arrows,Guard,21233,0.5045
Balloon,Zap,21223,0.5135
Barbarian,Mini P.E.K.K.A,21202,0.5326
Arrows,Electro Spirit,21188,0.5141
Bomb Tower,Executioner,21162,0.4708
Goblins,Miner,21057,0.4997
Arrows,Poison,21046,0.5067
Fireball,Tesla,21040,0.5237
Electro Spirit,Flying Machine,21032,0.5188
Arrows,Royal Giant,21029,0.5189
Bat,Lumberjack,20946,0.5079
Executioner,Lightning,20902,0.5116
Archer Queen,Battle Ram,20858,0.561
Rage,Tornado,20803,0.5038
Archer,Knight,20724,0.4986
Rage,Witch,20723,0.4951
Elixir Golem,Tornado,20703,0.5083
Archer Queen,Magic Archer,20637,0.5616
Inferno Dragon,Valkyrie,20598,0.4962
Mother Witch,The Log,20582,0.5196
Hog Rider,Poison,20564,0.5053
Barbarian,Battle Ram,20516,0.5601
Arrows,Bowler,20507,0.5248
Archer Queen,Heal Spirit,20496,0.5575
Mother Witch,Royal Hogs,20390,0.5225
Bandit,Rage,20363,0.5209
Guard,Mini P.E.K.K.A,20312,0.4946
Giant,Graveyard,20288,0.512
Giant Snowball,Skeleton,20263,0.5168
Giant,Witch,20255,0.497
Fisherman,Skeleton,20241,0.5326
Mortar,The Log,20234,0.5162
Firecracker,Royal Hogs,20203,0.5072
Balloon,Bomb Tower,20202,0.5165
Lightning,Zap,20197,0.5089
Lightning,Royal Giant,20150,0.5265
Golem,Zap,20082,0.5137
Hunter,Royal Giant,19984,0.5307
Battle Healer,Tornado,19965,0.5087
Poison,Valkyrie,19944,0.496
Hog Rider,Lumberjack,19929,0.5
Barbarian,Musketeer,19918,0.5319
Bat,Skeleton,19912,0.5099
Prince,Wall Breakers,19853,0.5105
Heal Spirit,Magic Archer,19843,0.5599
Bat,Skeleton Barrel,19831,0.5232
Bandit,Prince,19810,0.5075
Knight,Three Musketeers,19802,0.5444
Firecracker,Phoenix,19746,0.5019
Fireball,Wizard,19686,0.4977
Battle Ram,Heal Spirit,19664,0.5624
Inferno Tower,Valkyrie,19647,0.5121
Baby Dragon,Mini P.E.K.K.A,19637,0.4922
Cannon,Earthquake,19605,0.5022
Elixir Collector,The Log,19584,0.5257
Goblins,Valkyrie,19542,0.523
Fireball,Giant,19502,0.5193
Firecracker,Tombstone,19488,0.5031
Cannon,Electro Giant,19469,0.515
Giant Snowball,Miner,19448,0.5186
Goblin Cage,Lightning,19435,0.513
Barbarian,Barbarian Barrel,19422,0.5319
Lumberjack,Wizard,19400,0.4901
Arrows,Giant Skeleton,19387,0.5142
Cannon,Tornado,19327,0.5161
Barbarian Barrel,Night Witch,19320,0.5096
Mega Knight,Royal Ghost,19281,0.4945
Royal Giant,Zap,19254,0.5068
Bomb Tower,Giant Snowball,19130,0.5204
Minion,Valkyrie,19107,0.5068
Lightning,P.E.K.K.A,19074,0.5007
Barbarian,Bowler,19012,0.543
Wall Breakers,Zap,19011,0.5245
Goblin Cage,Tornado,18989,0.519
Elixir Collector,Fire Spirit,18965,0.5294
Minion,Musketeer,18952,0.5151
Earthquake,Royal Delivery,18933,0.5036
Barbarian,Giant,18907,0.5269
Witch,Wizard,18894,0.4862
Bandit,Barbarian Barrel,18812,0.5388
Elite Barbarian,Fireball,18783,0.5054
Mini P.E.K.K.A,Poison,18748,0.4926
Bomber,Knight,18736,0.4942
Balloon,Bomber,18709,0.4923
Elite Barbarian,Heal Spirit,18689,0.5307
Dark Prince,Phoenix,18688,0.527
Poison,Royal Recruits,18666,0.5072
Balloon,Mini P.E.K.K.A,18637,0.5079
Phoenix,Rage,18633,0.5235
Bandit,Mini P.E.K.K.A,18610,0.5056
Royal Recruits,The Log,18547,0.5091
Earthquake,Mini P.E.K.K.A,18511,0.5167
Elixir Golem,Inferno Dragon,18460,0.5202
Ice Spirit,X-Bow,18448,0.5224
Executioner,Mini P.E.K.K.A,18431,0.492
Night Witch,Poison,18410,0.4887
Cannon,Knight,18408,0.5224
Bat,Tornado,18396,0.4795
Archer,Fireball,18390,0.5174
Firecracker,Wizard,18382,0.4877
Battle Ram,Knight,18355,0.5339
Giant Snowball,Knight,18280,0.4915
Arrows,Skeleton,18274,0.5108
Fire Spirit,Knight,18268,0.5242
Fireball,Miner,18239,0.5025
Hunter,Three Musketeers,18186,0.5433
Electro Giant,Inferno Dragon,18162,0.4991
Giant Skeleton,Hog Rider,18117,0.5212
Ice Golem,Mini P.E.K.K.A,18085,0.5181
Bowler,Lightning,18066,0.5302
Battle Ram,Three Musketeers,18064,0.5402
Ice Golem,Miner,18056,0.5155
P.E.K.K.A,Wizard,18047,0.487
Golem,Mega Minion,17984,0.5177
Executioner,Tombstone,17971,0.5437
Executioner,Miner,17947,0.4685
Royal Hogs,The Log,17939,0.5002
Giant Skeleton,The Log,17862,0.5184
Firecracker,Goblin Giant,17857,0.5063
Rocket,Valkyrie,17825,0.5004
Mighty Miner,Tesla,17821,0.5334
Battle Ram,Elixir Collector,17809,0.5412
Electro Dragon,Elite Barbarian,17660,0.5057
Arrows,Goblins,17659,0.5412
Rage,Wizard,17644,0.4893
Magic Archer,Poison,17642,0.4795
Barbarian,Valkyrie,17642,0.5126
Arrows,Skeleton Barrel,17607,0.5174
Freeze,Hog Rider,17483,0.5091
Elixir Collector,Hunter,17473,0.5432
Baby Dragon,Barbarian,17456,0.5305
Lumberjack,Witch,17451,0.4908
Flying Machine,Mega Knight,17448,0.5099
Elite Barbarian,Hog Rider,17411,0.505
Heal Spirit,Zap,17302,0.5377
Archer Queen,Earthquake,17273,0.5062
Barbarian,Wizard,17249,0.505
Firecracker,Ice Golem,17146,0.5152
Bat,Electro Spirit,17107,0.492
Firecracker,Giant Skeleton,17098,0.5088
Barbarian,Sparky,17096,0.5542
Arrows,Tesla,17089,0.5044
Bomb Tower,Ice Golem,17043,0.5138
Barbarian Barrel,Mini P.E.K.K.A,16990,0.5071
Fire Spirit,Musketeer,16990,0.5227
Dark Prince,Elixir Collector,16987,0.5278
Freeze,Valkyrie,16962,0.5119
Elite Barbarian,Elixir Golem,16952,0.4995
Baby Dragon,Valkyrie,16907,0.4846
Barbarian,Mega Minion,16900,0.5234
Bat,Fireball,16898,0.524
Tesla,Tornado,16896,0.4915
Executioner,Fireball,16875,0.5007
Lightning,Wizard,16867,0.4933
Goblin Giant,Heal Spirit,16811,0.5435
Mega Knight,Musketeer,16809,0.5115
Bandit,Hunter,16781,0.5431
The Log,Tombstone,16763,0.538
Arrows,Giant Snowball,16743,0.5094
P.E.K.K.A,The Log,16729,0.5005
Balloon,Bat,16711,0.5223
Barbarian Barrel,Cannon,16617,0.5107
Electro Spirit,Musketeer,16570,0.5394
Dart Goblin,Firecracker,16565,0.5087
Balloon,Wizard,16511,0.4968
Electro Wizard,Minion,16504,0.525
Battle Healer,Firecracker,16501,0.5037
Fire Spirit,Skeleton,16482,0.5017
Lightning,Lumberjack,16475,0.5099
Barbarian,Goblin Giant,16463,0.5551
Bandit,Hog Rider,16452,0.5029
Bat,Witch,16427,0.5024
Prince,Valkyrie,16412,0.5072
Electro Giant,Fireball,16410,0.5005
Balloon,Electro Wizard,16371,0.5224
Dark Prince,Mega Knight,16353,0.5042
Electro Wizard,Mega Minion,16348,0.5407
Knight,Wizard,16338,0.4747
P.E.K.K.A,Valkyrie,16335,0.4903
Dark Prince,Electro Giant,16323,0.5179
Elixir Collector,Musketeer,16299,0.5235
Battle Ram,Hunter,16267,0.5428
Electro Giant,Goblin Cage,16246,0.5139
Inferno Dragon,Night Witch,16231,0.5248
Barbarian Barrel,Mega Knight,16202,0.5055
Elixir Collector,X-Bow,16186,0.5279
Rage,Three Musketeers,16181,0.5311
Royal Ghost,Skeleton,16170,0.5284
Bat,Night Witch,16163,0.5008
Giant Snowball,Minion,16102,0.4995
Mini P.E.K.K.A,Skeleton Barrel,16034,0.506
Elite Barbarian,Mega Knight,16033,0.5018
Fireball,Furnace,16000,0.5081
Poison,Tesla,15957,0.4916
Royal Delivery,Skeleton,15957,0.4918
Balloon,Witch,15928,0.4884
Bat,Royal Giant,15895,0.5132
Guard,Hog Rider,15851,0.5113
Phoenix,Zap,15845,0.5099
Barbarian,Freeze,15826,0.528
Fireball,Hunter,15823,0.5304
Electro Wizard,Night Witch,15822,0.5111
Hog Rider,Prince,15817,0.5177
Archer,Skeleton,15806,0.4985
Electro Wizard,Witch,15761,0.4919
Barbarian Barrel,Bat,15759,0.5152
Dark Prince,Lumberjack,15555,0.5322
Fisherman,Lightning,15540,0.5273
Bat,Musketeer,15533,0.5283
Electro Spirit,Hunter,15524,0.5246
Heal Spirit,Sparky,15398,0.537
Fire Spirit,Goblins,15365,0.5257
Elixir Collector,Phoenix,15353,0.529
Lightning,Skeleton,15318,0.5233
Guard,Lightning,15304,0.5085
Dart Goblin,Mega Knight,15267,0.4979
Fire Spirit,X-Bow,15233,0.5275
Sparky,Tornado,15220,0.5027
Electro Spirit,Goblin Cage,15217,0.5186
Balloon,Minion,15202,0.4891
Baby Dragon,Fireball,15197,0.5044
Arrows,Freeze,15151,0.5132
Mega Minion,Tornado,15146,0.512
Barbarian Barrel,Golden Knight,15139,0.5171
Furnace,Mega Knight,15113,0.4998
Dark Prince,Prince,15066,0.5145
Skeleton,Zap,15057,0.5188
Goblins,Lightning,15052,0.5292
Fireball,Inferno Tower,14981,0.5112
Bowler,Poison,14967,0.507
Arrows,Electro Giant,14902,0.4945
Guard,Zap,14893,0.5098
Earthquake,Fire Spirit,14855,0.5023
Mega Knight,Poison,14813,0.4975
Mega Minion,Mother Witch,14738,0.5343
Minion,Witch,14733,0.4971
Balloon,Electro Giant,14715,0.4953
Dark Prince,Golem,14679,0.5232
Musketeer,X-Bow,14622,0.5243
Minion,The Log,14607,0.5152
Firecracker,Musketeer,14603,0.503
Bandit,Dark Prince,14596,0.5124
Baby Dragon,Mega Minion,14586,0.5071
Guard,Mega Knight,14571,0.5064
Arrows,Furnace,14567,0.4931
Battle Healer,Elite Barbarian,14507,0.5024
Elite Barbarian,Lumberjack,14501,0.5242
Giant Snowball,Graveyard,14430,0.5159
Graveyard,Musketeer,14384,0.5136
Lightning,Witch,14360,0.487
Hunter,Lightning,14343,0.5107
Elite Barbarian,Sparky,14334,0.519
Barbarian Barrel,Ice Spirit,14321,0.5381
Mother Witch,Royal Ghost,14309,0.5357
Dart Goblin,Zap,14302,0.4977
Electro Dragon,Zap,14277,0.5189
Executioner,Firecracker,14273,0.4799
Golden Knight,Tornado,14238,0.505
Furnace,Valkyrie,14236,0.4959
Baby Dragon,Electro Wizard,14223,0.5015
Firecracker,Flying Machine,14209,0.5124
Elixir Golem,Poison,14155,0.4745
Ice Wizard,Valkyrie,14138,0.5057
Skeleton,X-Bow,14117,0.5194
Goblins,Mega Knight,14110,0.5389
Arrows,Dart Goblin,14075,0.5122
Elixir Collector,Ice Spirit,14060,0.531
Goblins,X-Bow,14045,0.5303
Dart Goblin,Mini P.E.K.K.A,14033,0.5031
Ice Spirit,Mini P.E.K.K.A,14002,0.5233
Electro Dragon,Mini P.E.K.K.A,13974,0.5112
Dark Prince,Electro Dragon,13961,0.5256
Lightning,Mother Witch,13948,0.5123
Bomb Tower,Royal Recruits,13934,0.504
Skeleton King,Tornado,13901,0.5128
Elite Barbarian,Valkyrie,13880,0.4966
Balloon,Goblins,13851,0.4943
Mini P.E.K.K.A,Phoenix,13832,0.5103
The Log,Zappies,13828,0.5277
Giant,Valkyrie,13828,0.5091
Elite Barbarian,Witch,13804,0.4986
Arrows,Lava Hound,13797,0.4959
Dark Prince,Giant,13769,0.5021
Furnace,Lightning,13738,0.4833
Miner,Royal Recruits,13647,0.5053
Barbarian,Lightning,13645,0.5192
Graveyard,Skeleton King,13597,0.5236
Bat,Royal Recruits,13561,0.5084
Barbarian,The Log,13527,0.5109
Bat,Earthquake,13513,0.4618
Fire Spirit,Ice Spirit,13479,0.525
Baby Dragon,Firecracker,13479,0.4897
Rage,Royal Giant,13469,0.5208
Mother Witch,Tornado,13459,0.5109
Earthquake,Giant Skeleton,13429,0.5323
Barbarian Barrel,Hog Rider,13392,0.4888
Fireball,Goblin Hut,13387,0.5013
Archer Queen,Royal Delivery,13353,0.4935
Bomber,Zap,13335,0.5057
Barbarian Barrel,Electro Wizard,13325,0.504
Bat,Ice Spirit,13324,0.5113
Balloon,Barbarian,13305,0.4982
Inferno Dragon,Miner,13299,0.5062
Firecracker,Zappies,13284,0.5053
Arrows,Goblin Hut,13274,0.506
Battle Ram,Rage,13268,0.5197
Electro Giant,Goblins,13255,0.4917
Mother Witch,Phoenix,13241,0.5191
Electro Wizard,Miner,13174,0.4932
Furnace,Goblin Hut,13158,0.4994
Ice Spirit,Mortar,13117,0.511
Elixir Golem,Mini P.E.K.K.A,13067,0.4945
Electro Spirit,Lightning,13059,0.5224
Barbarian,Mega Knight,13037,0.509
Electro Wizard,Prince,13012,0.5244
The Log,Witch,13007,0.5011
Barbarian,Electro Wizard,12952,0.5269
Barbarian Barrel,Tesla,12942,0.5039
Hog Rider,Tombstone,12929,0.4986
Balloon,P.E.K.K.A,12898,0.5013
Flying Machine,Mini P.E.K.K.A,12890,0.5133
Flying Machine,Poison,12887,0.4834
Royal Recruits,Spear Goblin,12882,0.5019
Elite Barbarian,Inferno Dragon,12850,0.4966
Firecracker,Mega Minion,12834,0.5121
Giant,Giant Snowball,12824,0.5141
Knight,Mega Knight,12817,0.5133
Bomber,Goblins,12807,0.4912
Cannon,Fire Spirit,12797,0.4925
Hog Rider,Rage,12795,0.5074
Firecracker,Freeze,12794,0.5
Miner,Prince,12705,0.491
Miner,Rage,12686,0.5054
Inferno Dragon,Mother Witch,12671,0.5012
Elite Barbarian,Wizard,12650,0.4935
Dark Prince,Inferno Dragon,12646,0.5138
Mortar,Musketeer,12631,0.5435
Balloon,Lightning,12627,0.4966
Bat,Ice Golem,12610,0.5193
Elite Barbarian,Night Witch,12600,0.5247
Bowler,Electro Giant,12600,0.5223
Skeleton King,The Log,12579,0.5344
Inferno Dragon,The Log,12560,0.5025
Elixir Collector,Mother Witch,12485,0.5427
Fire Spirit,Hog Rider,12461,0.5174
Goblin Giant,Phoenix,12460,0.512
Lumberjack,Musketeer,12433,0.5186
Night Witch,Phoenix,12418,0.5161
Elite Barbarian,Tornado,12412,0.5115
Lightning,Sparky,12386,0.5015
Bowler,Firecracker,12377,0.516
Barbarian Barrel,Furnace,12371,0.5012
Fisherman,Giant Skeleton,12363,0.5271
Goblin Cage,Mega Minion,12359,0.5198
Electro Wizard,Royal Giant,12355,0.5198
Barbarian Barrel,Zap,12349,0.5026
Tesla,X-Bow,12338,0.5182
Archer Queen,Fire Spirit,12297,0.5074
Fisherman,Rage,12273,0.5284
Battle Healer,Elixir Collector,12261,0.5273
Graveyard,Minion,12259,0.5102
Barbarian Barrel,Three Musketeers,12254,0.553
Mega Knight,P.E.K.K.A,12251,0.4932
Goblin Hut,Mega Knight,12238,0.5055
Earthquake,Ice Golem,12237,0.5158
Mini P.E.K.K.A,Prince,12226,0.5037
Bomb Tower,Fireball,12225,0.518
Barbarian Barrel,Elite Barbarian,12203,0.5263
Electro Wizard,Mother Witch,12170,0.4892
Night Witch,The Log,12167,0.5125
Baby Dragon,Zap,12159,0.5026
Fisherman,Night Witch,12142,0.4916
Firecracker,Furnace,12136,0.4891
Hunter,Rage,12135,0.5238
Ice Wizard,Tesla,12133,0.5063
Phoenix,Poison,12094,0.5227
Fireball,X-Bow,12082,0.5195
Arrows,Golden Knight,12062,0.5021
Archer Queen,Royal Hogs,12055,0.49
Bandit,Elite Barbarian,12053,0.5157
Goblin Cage,Inferno Dragon,12043,0.5058
Royal Hogs,Skeleton,12042,0.4885
Barbarian,Witch,12021,0.5033
Archer Queen,Knight,12011,0.5269
Firecracker,Goblin Cage,11977,0.5169
Cannon,Royal Delivery,11939,0.4887
Archer,Ice Spirit,11934,0.4894
Flying Machine,Furnace,11931,0.5024
Mini P.E.K.K.A,Royal Giant,11917,0.5043
Furnace,Mini P.E.K.K.A,11891,0.4975
Balloon,Mega Minion,11891,0.5015
Fisherman,Royal Recruits,11853,0.535
Rocket,Skeleton,11851,0.4782
Earthquake,Royal Hogs,11847,0.4924
Bowler,Phoenix,11844,0.5166
Goblins,Poison,11835,0.4935
Elixir Collector,Heal Spirit,11817,0.5232
Goblins,Zap,11814,0.5316
Lumberjack,P.E.K.K.A,11811,0.4892
Elixir Golem,Zap,11802,0.5216
Balloon,Lava Hound,11800,0.4874
Phoenix,Skeleton,11793,0.5381
Miner,Witch,11781,0.4879
Bomber,Lightning,11752,0.522
Golden Knight,Lightning,11725,0.511
Lumberjack,The Log,11718,0.5232
Freeze,Wizard,11702,0.5034
Inferno Tower,Mega Knight,11672,0.4871
Prince,Rage,11666,0.5117
Inferno Dragon,Tombstone,11666,0.5189
Electro Giant,Mini P.E.K.K.A,11635,0.4902
Goblin Cage,Mother Witch,11623,0.5283
Archer,Arrows,11622,0.5029
Baby Dragon,Electro Giant,11614,0.5087
Goblins,Wizard,11563,0.4661
Firecracker,Sparky,11560,0.4897
Elixir Collector,Firecracker,11535,0.5258
Minion,Wizard,11529,0.4894
Prince,Wizard,11521,0.4976
Hunter,The Log,11511,0.5256
Arrows,Cannon,11494,0.515
Goblins,Mortar,11489,0.55
Bat,Inferno Dragon,11454,0.5087
Bat,Sparky,11395,0.5082
Phoenix,Sparky,11377,0.5087
Minion,Prince,11351,0.5049
Archer Queen,Hog Rider,11331,0.5227
Archer,Tesla,11328,0.5198
Arrows,Rocket,11325,0.5085
Night Witch,Valkyrie,11321,0.5106
Elixir Collector,Mini P.E.K.K.A,11299,0.5138
Inferno Dragon,Lava Hound,11297,0.4998
Elite Barbarian,Golem,11294,0.5253
Baby Dragon,Electro Dragon,11279,0.5172
Lightning,Tombstone,11272,0.5122
Bat,Fisherman,11267,0.5158
Prince,Royal Ghost,11253,0.4918
Hunter,Skeleton,11239,0.5299
Rage,Skeleton,11231,0.5165
Prince,The Log,11199,0.524
Bandit,Goblins,11186,0.5467
Archer,Zap,11173,0.5117
Ice Spirit,Wall Breakers,11172,0.4899
Elite Barbarian,Three Musketeers,11163,0.528
Bat,Electro Wizard,11126,0.5102
Bomber,Minion,11124,0.4837
Bandit,Lumberjack,11113,0.4895
Mega Minion,Miner,11095,0.5103
Battle Healer,Zap,11071,0.5258
Firecracker,Magic Archer,11045,0.4688
Elite Barbarian,Elixir Collector,11038,0.5362
Minion,Tornado,11034,0.5114
Giant,Rage,11010,0.5076
Baby Dragon,Goblin Cage,11006,0.5163
Fireball,Prince,11006,0.5106
Barbarian Barrel,Mega Minion,10959,0.5146
Bomber,Golem,10944,0.5162
Barbarian,Ice Wizard,10926,0.5243
Inferno Tower,Zap,10919,0.4956
Lightning,Minion,10889,0.5135
Elite Barbarian,Mother Witch,10864,0.5109
Mega Knight,Royal Hogs,10851,0.4991
Goblins,Mother Witch,10844,0.5725
Bowler,Electro Wizard,10837,0.5246
Knight,Lumberjack,10829,0.5253
Flying Machine,Zap,10818,0.522
Knight,Valkyrie,10804,0.5194
Electro Spirit,Lumberjack,10802,0.5413
Elixir Golem,Mega Knight,10792,0.4855
Skeleton Barrel,Zap,10780,0.5111
Goblin Giant,Lightning,10757,0.5148
Bowler,Giant,10745,0.5311
Goblins,Royal Delivery,10738,0.504
Heal Spirit,Three Musketeers,10703,0.5365
Royal Delivery,Royal Hogs,10688,0.4858
Royal Giant,Valkyrie,10683,0.5034
Bat,Dart Goblin,10660,0.487
Firecracker,Monk,10652,0.4833
Giant,Wizard,10651,0.5049
Tombstone,Zap,10645,0.5233
Fireball,Guard,10642,0.4987
Bomber,Night Witch,10630,0.5203
Firecracker,Royal Giant,10627,0.5066
Archer Queen,Lightning,10613,0.5324
Graveyard,Ice Spirit,10576,0.5451
Miner,Mini P.E.K.K.A,10575,0.4955
Barbarian,Phoenix,10569,0.5265
Tesla,Zap,10560,0.5132
Cannon,Royal Hogs,10544,0.486
Bat,Wizard,10543,0.4952
Bowler,Musketeer,10526,0.5295
Dark Prince,Heal Spirit,10509,0.539
Lightning,Royal Ghost,10509,0.5233
Elite Barbarian,Phoenix,10480,0.5193
Hog Rider,Royal Delivery,10470,0.525
Elixir Collector,Fireball,10468,0.5444
Dark Prince,Elite Barbarian,10443,0.535
Barbarian Barrel,Valkyrie,10404,0.497
Night Witch,Tombstone,10392,0.5091
Mini P.E.K.K.A,Rocket,10389,0.4967
Electro Wizard,Phoenix,10387,0.5288
Bandit,Tornado,10386,0.5043
Bowler,Tesla,10383,0.5049
Magic Archer,Mini P.E.K.K.A,10374,0.4827
Bat,Giant Skeleton,10340,0.5168
Mega Minion,The Log,10338,0.5054
Dark Prince,Hog Rider,10278,0.514
Freeze,Mini P.E.K.K.A,10276,0.5123
Inferno Dragon,Poison,10272,0.5077
Barbarian,Lumberjack,10247,0.5492
Inferno Tower,Mighty Miner,10244,0.5268
Bat,Royal Ghost,10243,0.492
Fire Spirit,Royal Delivery,10232,0.4903
Inferno Tower,Lightning,10229,0.4925
Dark Prince,P.E.K.K.A,10222,0.5079
Flying Machine,Goblin Hut,10215,0.4992
Fireball,Skeleton Barrel,10207,0.5044
Barbarian Barrel,Goblin Hut,10204,0.522
Ice Spirit,Tombstone,10181,0.5467
Bat,Dark Prince,10166,0.5324
Electro Wizard,Graveyard,10160,0.4944
Elite Barbarian,Goblin Giant,10157,0.5311
Freeze,Mega Knight,10153,0.5111
Baby Dragon,Mega Knight,10147,0.4754
Inferno Tower,Tornado,10134,0.4923
Barbarian,Golem,10094,0.5417
Barbarian,Executioner,10079,0.5178
Freeze,Witch,10079,0.5167
Electro Spirit,Tornado,10072,0.4401
Inferno Dragon,Prince,10071,0.5115
Arrows,Ice Wizard,10055,0.5169
Skeleton Barrel,Wall Breakers,10048,0.5382
Electro Dragon,Fireball,10043,0.5408
Prince,Witch,10020,0.5024
Barbarian Barrel,Goblin Giant,10017,0.5132
Lumberjack,Royal Giant,10015,0.54
Bomber,Mini P.E.K.K.A,9962,0.5085
Musketeer,Witch,9958,0.5001
Mother Witch,P.E.K.K.A,9949,0.487
Bomber,Inferno Dragon,9942,0.4989
Battle Healer,Inferno Dragon,9931,0.5085
Giant Skeleton,Mother Witch,9929,0.5139
Minion,Skeleton,9925,0.5103
Mother Witch,Valkyrie,9920,0.4768
Mega Knight,Tesla,9909,0.5033
Dart Goblin,Hog Rider,9908,0.5013
Bat,Lightning,9886,0.5169
Mega Knight,Tombstone,9886,0.4954
Archer Queen,Mega Knight,9880,0.4962
Hunter,Sparky,9858,0.5107
Poison,Skeleton King,9821,0.512
Fisherman,Royal Hogs,9812,0.5206
Fireball,Wall Breakers,9800,0.5261
Heal Spirit,Mother Witch,9778,0.5289
Musketeer,Poison,9767,0.5157
Firecracker,Fisherman,9766,0.493
Minion,Royal Giant,9738,0.506
Graveyard,Tesla,9718,0.5035
Inferno Dragon,Witch,9711,0.4851
Balloon,Tombstone,9710,0.5011
Giant,Mega Minion,9702,0.5179
Elixir Collector,Zap,9696,0.5143
Electro Wizard,Heal Spirit,9693,0.5466
Inferno Tower,Mini P.E.K.K.A,9679,0.4891
Mortar,Tornado,9628,0.4722
Arrows,Hunter,9624,0.5233
Inferno Dragon,Mega Minion,9608,0.5058
Elite Barbarian,Executioner,9605,0.5012
Knight,P.E.K.K.A,9603,0.5086
Guard,Valkyrie,9599,0.4983
Barbarian Barrel,Wall Breakers,9577,0.533
Hog Rider,Ice Wizard,9561,0.5032
Elite Barbarian,The Log,9560,0.5036
Skeleton Barrel,The Log,9552,0.5358
Fire Spirit,Firecracker,9508,0.5137
Mega Knight,Skeleton,9474,0.503
Cannon,Phoenix,9456,0.5128
Archer Queen,Barbarian Barrel,9453,0.5281
Electro Spirit,X-Bow,9436,0.5292
Furnace,Mother Witch,9422,0.5154
Knight,Mortar,9420,0.4849
Earthquake,Wizard,9409,0.4518
Ice Spirit,Wizard,9409,0.4518
Bandit,Skeleton Barrel,9406,0.5426
Inferno Dragon,Minion,9396,0.4958
Barbarian,Miner,9389,0.4907
Archer,X-Bow,9372,0.5218
Fireball,Lava Hound,9358,0.5002
Cannon,Giant Skeleton,9356,0.5212
Goblins,Royal Recruits,9336,0.5617
Royal Ghost,Wall Breakers,9333,0.5064
Dark Prince,Goblin Cage,9326,0.5163
Goblin Hut,Mother Witch,9314,0.5209
Goblin Hut,Valkyrie,9310,0.4835
Rage,The Log,9290,0.502
Mini P.E.K.K.A,P.E.K.K.A,9269,0.4971
Baby Dragon,The Log,9262,0.5019
Battle Healer,Fireball,9244,0.5402
Fireball,Golem,9221,0.5122
Elite Barbarian,Royal Ghost,9211,0.5365
Giant Skeleton,Skeleton,9210,0.5309
Barbarian,Poison,9199,0.5016
Firecracker,Golden Knight,9175,0.4992
Inferno Tower,Skeleton,9151,0.5321
Bat,Goblin Giant,9123,0.5222
Bandit,Inferno Dragon,9118,0.5093
Fisherman,Flying Machine,9112,0.4955
Barbarian,Furnace,9106,0.5067
Graveyard,Valkyrie,9075,0.5131
Dart Goblin,Skeleton Barrel,9069,0.5124
Barbarian Barrel,Battle Ram,9058,0.5616
Tombstone,Valkyrie,9040,0.4836
Lumberjack,Minion,9028,0.4952
Furnace,Zap,9024,0.4977
Earthquake,Musketeer,8984,0.537
Barbarian,Zappies,8981,0.532
