Type,Unit,Level,Range,Radius,Hit Speed (sec),Hitpoints,Damage,DPS,Crown Tower Damage,Charge Damage,Stage1 Damage,Stage2 Damage,Stage3 Damage (Max),Shield Hitpoints,Death Damage,Heal (per hit),Heal per Second,Enchanted Damage,Pellet Count,Spawn Damage,Jump Damage,Shard Count,Building Damage,Dash Damage,Zap Pack Damage,Zap Pack DPS,Hit Count,Damage (2-4 targets),Crown Tower Damage (2-4 targets),Damage (5+ targets),Crown Tower Damage (5+ targets),Area Damage,Combo Damage,Air Form DPS,Ground Form DPS
Troop,Skeleton,1,Melee: Short,,1.1,32,32,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,2,Melee: Short,,1.1,35,35,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,3,Melee: Short,,1.1,38,38,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,4,Melee: Short,,1.1,42,42,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,5,Melee: Short,,1.1,46,46,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,6,Melee: Short,,1.1,51,51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,7,Melee: Short,,1.1,56,56,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,8,Melee: Short,,1.1,61,61,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,9,Melee: Short,,1.1,67,67,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,10,Melee: Short,,1.1,74,74,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,11,Melee: Short,,1.1,81,81,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,12,Melee: Short,,1.1,89,89,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,13,Melee: Short,,1.1,98,98,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,14,Melee: Short,,1.1,108,108,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,15,Melee: Short,,1.1,119,119,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,16,Melee: Short,,1.1,130,130,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,17,Melee: Short,,1.1,144,144,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Skeleton,18,Melee: Short,,1.1,158,158,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,1,Melee: Medium,,1.5,745,104,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,2,Melee: Medium,,1.5,819,114,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,3,Melee: Medium,,1.5,901,125,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,4,Melee: Medium,,1.5,990,138,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,5,Melee: Medium,,1.5,1087,151,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,6,Melee: Medium,,1.5,1192,166,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,7,Melee: Medium,,1.5,1311,183,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,8,Melee: Medium,,1.5,1437,200,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,9,Melee: Medium,,1.5,1579,220,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,10,Melee: Medium,,1.5,1735,242,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,11,Melee: Medium,,1.5,1907,266,177,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,12,Melee: Medium,,1.5,2093,292,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,13,Melee: Medium,,1.5,2302,321,214,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,14,Melee: Medium,,1.5,2525,352,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,15,Melee: Medium,,1.5,2771,386,257,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,16,Melee: Medium,,1.5,3047,425,283,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,17,Melee: Medium,,1.5,3352,468,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Valkyrie,18,Melee: Medium,,1.5,3687,514,342,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,1,4.5,,1.8,119,88,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,2,4.5,,1.8,130,96,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,3,4.5,,1.8,143,106,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,4,4.5,,1.8,158,117,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,5,4.5,,1.8,173,128,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,6,4.5,,1.8,190,140,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,7,4.5,,1.8,209,154,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,8,4.5,,1.8,229,169,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,9,4.5,,1.8,252,186,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,10,4.5,,1.8,277,205,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,11,4.5,,1.8,304,225,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,12,4.5,,1.8,334,247,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,13,4.5,,1.8,367,271,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,14,4.5,,1.8,403,298,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,15,4.5,,1.8,442,327,181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,16,4.5,,1.8,486,359,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,17,4.5,,1.8,535,396,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Bomber,18,4.5,,1.8,589,435,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,11,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,12,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,13,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,14,,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,15,,,,,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,16,,,,,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,17,,,,,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Tombstone,18,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,1,Melee: Short,,1.4,270,75,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,2,Melee: Short,,1.4,297,82,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,3,Melee: Short,,1.4,326,90,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,4,Melee: Short,,1.4,359,99,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,5,Melee: Short,,1.4,394,109,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,6,Melee: Short,,1.4,432,120,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,7,Melee: Short,,1.4,475,132,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,8,Melee: Short,,1.4,521,144,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,9,Melee: Short,,1.4,572,159,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,10,Melee: Short,,1.4,629,174,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,11,Melee: Short,,1.4,691,192,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,12,Melee: Short,,1.4,758,210,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,13,Melee: Short,,1.4,834,231,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,14,Melee: Short,,1.4,915,254,181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,15,Melee: Short,,1.4,1004,279,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,16,Melee: Short,,1.4,1104,306,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,17,Melee: Short,,1.4,1215,337,240,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Barbarian,18,Melee: Short,,1.4,1336,371,265,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,1,Melee: Short,,,378,112,,,224,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,2,Melee: Short,,,415,123,,,246,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,3,Melee: Short,,,457,135,,,271,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,4,Melee: Short,,,502,148,,,297,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,5,Melee: Short,,,551,163,,,327,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,6,Melee: Short,,,604,179,,,358,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,7,Melee: Short,,,665,197,,,394,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,8,Melee: Short,,,729,216,,,432,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,9,Melee: Short,,,801,237,,,474,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,10,Melee: Short,,,880,260,,,521,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,11,Melee: Short,,,967,286,,,573,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,12,Melee: Short,,,1062,314,,,629,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,13,Melee: Short,,,1168,346,,,692,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,14,Melee: Short,,,1281,379,,,759,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,15,Melee: Short,,,1406,416,,,833,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,16,Melee: Short,,,1546,458,,,916,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,17,Melee: Short,,,1701,504,,,1008,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Battle Ram,18,Melee: Short,,,1871,554,,,1108,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,1,Melee: Long,,1.5,327,122,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,2,Melee: Long,,1.5,359,134,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,3,Melee: Long,,1.5,395,147,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,4,Melee: Long,,1.5,434,162,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,5,Melee: Long,,1.5,477,178,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,6,Melee: Long,,1.5,523,195,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,7,Melee: Long,,1.5,575,214,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,8,Melee: Long,,1.5,631,235,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,9,Melee: Long,,1.5,693,258,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,10,Melee: Long,,1.5,761,284,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,11,Melee: Long,,1.5,837,312,208,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,12,Melee: Long,,1.5,918,342,228,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,13,Melee: Long,,1.5,1010,376,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,14,Melee: Long,,1.5,1108,413,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,15,Melee: Long,,1.5,1216,453,302,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,16,Melee: Long,,1.5,1337,498,332,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,17,Melee: Long,,1.5,1471,549,366,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Mega Minion,18,Melee: Long,,1.5,1618,603,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,1,5.5,,1,322,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,2,5.5,,1,354,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,3,5.5,,1,389,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,4,5.5,,1,428,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,5,5.5,,1,470,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,6,5.5,,1,515,126,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,7,5.5,,1,566,139,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,8,5.5,,1,621,152,152,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,9,5.5,,1,682,167,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,10,5.5,,1,750,184,184,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,11,5.5,,1,824,202,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,12,5.5,,1,904,221,221,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,13,5.5,,1,994,244,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,14,5.5,,1,1091,267,267,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,15,5.5,,1,1197,293,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,16,5.5,,1,1316,323,323,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,17,5.5,,1,1449,355,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Cannon,18,5.5,,1,1593,391,391,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,1,5.5,,1.4,295,110,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,2,5.5,,1.4,324,121,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,3,5.5,,1.4,356,133,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,4,5.5,,1.4,392,146,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,5,5.5,,1.4,430,160,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,6,5.5,,1.4,472,176,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,7,5.5,,1.4,519,193,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,8,5.5,,1.4,569,212,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,9,5.5,,1.4,625,233,166,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,10,5.5,,1.4,687,256,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,11,5.5,,1.4,755,281,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,12,5.5,,1.4,828,309,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,13,5.5,,1.4,911,339,242,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,14,5.5,,1.4,1000,372,265,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,15,5.5,,1.4,1097,409,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,16,5.5,,1.4,1206,449,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,17,5.5,,1.4,1327,495,353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Wizard,18,5.5,,1.4,1460,544,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,1,2.5,,,90,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,2,2.5,,,99,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,3,2.5,,,108,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,4,2.5,,,119,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,5,2.5,,,131,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,6,2.5,,,144,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,7,2.5,,,158,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,8,2.5,,,173,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,9,2.5,,,190,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,10,2.5,,,209,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,11,2.5,,,230,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,12,2.5,,,252,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,13,2.5,,,278,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,14,2.5,,,305,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,15,2.5,,,334,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,16,2.5,,,368,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,17,2.5,,,405,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Fire Spirit,18,2.5,,,445,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,1,2.5,,,90,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,2,2.5,,,99,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,3,2.5,,,108,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,4,2.5,,,119,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,5,2.5,,,131,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,6,2.5,,,144,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,7,2.5,,,158,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,8,2.5,,,173,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,9,2.5,,,190,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,10,2.5,,,209,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,11,2.5,,,230,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,12,2.5,,,252,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,13,2.5,,,278,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,14,2.5,,,305,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,15,2.5,,,334,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,16,2.5,,,368,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,17,2.5,,,405,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Electro Spirit,18,2.5,,,445,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,1,6,,0.4,683,,,,,17,331,827,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,2,6,,0.4,751,,,,,18,364,910,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,3,6,,0.4,826,,,,,20,400,1000,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,4,6,,0.4,908,,,,,22,440,1100,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,5,6,,0.4,997,,,,,24,483,1207,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,6,6,,0.4,1092,,,,,27,529,1322,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,7,6,,0.4,1202,,,,,29,582,1455,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,8,6,,0.4,1318,,,,,32,638,1595,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,9,6,,0.4,1447,,,,,36,701,1752,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,10,6,,0.4,1591,,,,,39,771,1927,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,11,6,,0.4,1748,,,,,43,847,2117,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,12,6,,0.4,1919,,,,,47,930,2325,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,13,6,,0.4,2110,,,,,52,1022,2555,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,14,6,,0.4,2315,,,,,57,1122,2805,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,15,6,,0.4,2540,,,,,63,1231,3077,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,16,6,,0.4,2793,,,,,69,1353,3382,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,17,6,,0.4,3073,,,,,76,1489,3722,,,,,,,,,,,,,,,,,,,,,,
Building,Inferno Tower,18,6,,0.4,3380,,,,,84,1638,4095,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,1,6,,1.8,530,87,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,2,6,,1.8,583,95,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,3,6,,1.8,641,105,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,4,6,,1.8,704,115,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,5,6,,1.8,773,127,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,6,6,,1.8,848,139,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,7,6,,1.8,932,153,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,8,6,,1.8,1022,167,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,9,6,,1.8,1123,184,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,10,6,,1.8,1234,202,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,11,6,,1.8,1356,222,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,12,6,,1.8,1489,244,135,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,13,6,,1.8,1637,268,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,14,6,,1.8,1796,294,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,15,6,,1.8,1971,323,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,16,6,,1.8,2167,355,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,17,6,,1.8,2385,391,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building,Bomb Tower,18,6,,1.8,2623,430,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,1,Melee: Short,,1.6,663,124,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,2,Melee: Short,,1.6,729,136,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,3,Melee: Short,,1.6,802,150,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,4,Melee: Short,,1.6,881,164,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,5,Melee: Short,,1.6,967,181,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,6,Melee: Short,,1.6,1060,198,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,7,Melee: Short,,1.6,1166,218,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,8,Melee: Short,,1.6,1279,239,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,9,Melee: Short,,1.6,1405,262,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,10,Melee: Short,,1.6,1544,288,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,11,Melee: Short,,1.6,1697,317,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,12,Melee: Short,,1.6,1863,348,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,13,Melee: Short,,1.6,2048,383,239,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,14,Melee: Short,,1.6,2247,420,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,15,Melee: Short,,1.6,2466,461,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,16,Melee: Short,,1.6,2711,507,316,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,17,Melee: Short,,1.6,2983,558,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop,Hog Rider,18,Melee: Short,,1.6,3281,613,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
